,0,1,2
response,0.0,0.08780487804878048,1.0
income_mms,0.5943404605593948,0.28751907072490385,0.6293321332210793
mntwines_mms,0.3961115688765292,0.04865739356744685,0.49704949049178215
mntfruits_mms,0.2771604938271605,0.03374661246612466,0.30980184005661715
mntmeatproducts_mms,0.31648164631030673,0.031849150267203606,0.4419839805279414
kidhome_mms,0.03670634920634921,0.3884146341463415,0.028662420382165606
teenhome_mms,0.28075396825396826,0.25365853658536586,0.1305732484076433
mntfishproducts_mms,0.3007936507936508,0.03703760162601626,0.3024416135881104
mntsweetproducts_mms,0.27497299094157734,0.03185416932703359,0.28088838496681895
mntgoldprods_mms,0.2886166863439591,0.08248840959483975,0.34163288940359005
numwebpurchases_mms,0.2070840681951793,0.09905149051490514,0.2222222222222222
numcatalogpurchases_mms,0.44246031746031744,0.06330376940133038,0.514186450492183
numstorepurchases_mms,0.6416997354497354,0.21117886178861786,0.5408704883227176
numwebvisitsmonth_mms,0.2552308802308802,0.4945676274944567,0.2872032426172553
household_members_mms,0.3308531746031746,0.48597560975609755,0.20222929936305734
total_amount_mms,0.43494363472529407,0.054056487766148006,0.5465317093275817
total_purchase_mms,0.6008986928104576,0.24404591104734574,0.5914200074934431
median_amount_purchase_mms,0.051032214464930614,0.012912640483121485,0.06474306499731029
total_cmp_mms,0.08283730158730158,0.021646341463414633,0.3359872611464968
