,0,1
response,0.09246575342465753,0.24462809917355371
income_mms,0.30030407995114206,0.6133090925534962
mntwines_mms,0.061467705668750594,0.4359179393065478
mntfruits_mms,0.03727803145611365,0.303048668503214
mntmeatproducts_mms,0.035248249145317385,0.37047449859684356
kidhome_mms,0.3692922374429224,0.02975206611570248
teenhome_mms,0.2694063926940639,0.22148760330578512
mntfishproducts_mms,0.04007324961948249,0.3212396694214876
mntsweetproducts_mms,0.03520284969757824,0.2941629527065034
mntgoldprods_mms,0.09003641646854597,0.31052523734717574
numwebpurchases_mms,0.10591070522577371,0.21108050198959288
numcatalogpurchases_mms,0.07243669572436695,0.4829451540195342
numstorepurchases_mms,0.2313546423135464,0.6261707988980716
numwebvisitsmonth_mms,0.4873391448733914,0.25184072126220886
household_members_mms,0.4843036529680365,0.2855371900826446
total_amount_mms,0.06393011287729239,0.48486051463423435
total_purchase_mms,0.26168412570507654,0.6059309674282936
median_amount_purchase_mms,0.013821431237650478,0.05680279128410007
total_cmp_mms,0.025399543378995432,0.1487603305785124
